GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ticketing Project,at.htl.diplproject.security,SecurityUtils,96,19,3,1,23,6,11,2,9,2
Ticketing Project,at.htl.diplproject.security,SpringSecurityAuditorAware,0,8,0,0,0,2,0,2,0,2
Ticketing Project,at.htl.diplproject.security,DomainUserDetailsService,20,111,0,4,0,20,2,8,2,6
Ticketing Project,at.htl.diplproject.security,UserNotActivatedException,5,4,0,0,2,2,1,1,1,1
Ticketing Project,at.htl.diplproject.domain,PersistentAuditEvent_,3,0,0,0,1,0,1,0,1,0
Ticketing Project,at.htl.diplproject.domain,User,0,196,0,8,0,50,0,34,0,30
Ticketing Project,at.htl.diplproject.domain,Cart,0,82,0,8,0,24,0,16,0,12
Ticketing Project,at.htl.diplproject.domain,Sale,0,48,0,8,0,12,0,10,0,6
Ticketing Project,at.htl.diplproject.domain,TabletView,0,48,0,8,0,12,0,10,0,6
Ticketing Project,at.htl.diplproject.domain,Cart_,3,0,0,0,1,0,1,0,1,0
Ticketing Project,at.htl.diplproject.domain,Tickets,0,116,0,8,0,36,0,22,0,18
Ticketing Project,at.htl.diplproject.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Ticketing Project,at.htl.diplproject.domain,TabletView_,3,0,0,0,1,0,1,0,1,0
Ticketing Project,at.htl.diplproject.domain,User_,3,0,0,0,1,0,1,0,1,0
Ticketing Project,at.htl.diplproject.domain,Authority,0,45,0,4,0,11,0,8,0,6
Ticketing Project,at.htl.diplproject.domain,Tickets_,3,0,0,0,1,0,1,0,1,0
Ticketing Project,at.htl.diplproject.domain,Sale_,3,0,0,0,1,0,1,0,1,0
Ticketing Project,at.htl.diplproject.domain,AbstractAuditingEntity,0,37,0,0,0,17,0,9,0,9
Ticketing Project,at.htl.diplproject.domain,PersistentAuditEvent,0,95,0,8,0,24,0,18,0,14
Ticketing Project,at.htl.diplproject.domain,Authority_,3,0,0,0,1,0,1,0,1,0
Ticketing Project,at.htl.diplproject.service.mapper,CartMapper,0,13,0,2,0,5,0,2,0,1
Ticketing Project,at.htl.diplproject.service.mapper,CartMapperImpl,62,43,10,2,16,13,8,3,2,3
Ticketing Project,at.htl.diplproject.service.mapper,TicketsMapper,0,13,0,2,0,5,0,2,0,1
Ticketing Project,at.htl.diplproject.service.mapper,UserMapper,0,118,0,6,0,37,0,11,0,8
Ticketing Project,at.htl.diplproject.service.mapper,TicketsMapperImpl,62,59,10,2,16,17,8,3,2,3
Ticketing Project,at.htl.diplproject.config.audit,AuditEventConverter,41,83,8,8,10,19,7,6,1,4
Ticketing Project,at.htl.diplproject.web.websocket,ActivityService,41,10,0,0,11,4,2,2,2,2
Ticketing Project,at.htl.diplproject.service.util,RandomUtil,0,9,0,0,0,3,0,3,0,3
Ticketing Project,at.htl.diplproject.web.rest,UserJWTController,0,67,0,2,0,13,0,3,0,2
Ticketing Project,at.htl.diplproject.web.rest,UserResource,0,201,0,14,0,39,0,14,0,7
Ticketing Project,at.htl.diplproject.web.rest,CartResource,0,131,0,4,0,26,0,8,0,6
Ticketing Project,at.htl.diplproject.web.rest,AuditResource,0,56,0,0,0,12,0,4,0,4
Ticketing Project,at.htl.diplproject.web.rest,TabletViewResource,0,133,0,4,0,26,0,8,0,6
Ticketing Project,at.htl.diplproject.web.rest,TicketsResource,0,131,0,4,0,26,0,8,0,6
Ticketing Project,at.htl.diplproject.web.rest,UserJWTController.JWTToken,4,9,0,0,2,4,1,2,1,2
Ticketing Project,at.htl.diplproject.web.rest,SaleResource,0,133,0,4,0,26,0,8,0,6
Ticketing Project,at.htl.diplproject.web.rest,AccountResource,12,188,2,20,1,47,3,20,1,11
Ticketing Project,at.htl.diplproject.web.rest,ClientForwardController,0,5,0,0,0,2,0,2,0,2
Ticketing Project,at.htl.diplproject.web.rest,AccountResource.AccountResourceException,0,4,0,0,0,2,0,1,0,1
Ticketing Project,at.htl.diplproject.config,WebsocketConfiguration.new HandshakeInterceptor() {...},15,6,2,0,5,1,3,1,2,1
Ticketing Project,at.htl.diplproject.config,WebsocketConfiguration.new DefaultHandshakeHandler() {...},25,6,2,0,6,1,2,1,1,1
Ticketing Project,at.htl.diplproject.config,LoggingAspectConfiguration,5,3,0,0,1,1,1,1,1,1
Ticketing Project,at.htl.diplproject.config,WebsocketConfiguration,6,62,0,0,0,14,1,5,1,5
Ticketing Project,at.htl.diplproject.config,LiquibaseConfiguration,4,63,1,1,1,16,1,2,0,2
Ticketing Project,at.htl.diplproject.config,CloudDatabaseConfiguration,15,0,0,0,4,0,2,0,2,0
Ticketing Project,at.htl.diplproject.config,JacksonConfiguration,0,27,0,0,0,7,0,7,0,7
Ticketing Project,at.htl.diplproject.config,LocaleConfiguration,0,24,0,0,0,8,0,3,0,3
Ticketing Project,at.htl.diplproject.config,LoggingConfiguration,3,59,6,4,0,17,5,1,0,1
Ticketing Project,at.htl.diplproject.config,WebConfigurer,138,141,14,6,27,33,13,6,3,6
Ticketing Project,at.htl.diplproject.config,DefaultProfileUtil,13,0,0,0,4,0,1,0,1,0
Ticketing Project,at.htl.diplproject.config,CacheConfiguration,3,99,1,1,1,25,1,6,0,6
Ticketing Project,at.htl.diplproject.config,DateTimeFormatConfiguration,0,14,0,0,0,5,0,2,0,2
Ticketing Project,at.htl.diplproject.config,AsyncConfiguration,4,46,0,0,1,11,1,2,1,2
Ticketing Project,at.htl.diplproject.config,SecurityConfiguration,0,239,0,0,0,55,0,5,0,5
Ticketing Project,at.htl.diplproject.config,DatabaseConfiguration,40,10,4,0,10,4,4,1,2,1
Ticketing Project,at.htl.diplproject.config,WebsocketSecurityConfiguration,0,41,0,0,0,9,0,3,0,3
Ticketing Project,at.htl.diplproject.config,ApplicationProperties,0,3,0,0,0,1,0,1,0,1
Ticketing Project,at.htl.diplproject.web.websocket.dto,ActivityDTO,80,0,0,0,17,0,12,0,12,0
Ticketing Project,at.htl.diplproject.service,UserService,18,589,2,10,3,157,4,31,2,27
Ticketing Project,at.htl.diplproject.service,MailService,7,176,1,1,1,39,1,6,0,6
Ticketing Project,at.htl.diplproject.service,AuditEventService,0,52,0,0,0,12,0,4,0,4
Ticketing Project,at.htl.diplproject.service,TicketsService,0,83,0,0,0,19,0,5,0,5
Ticketing Project,at.htl.diplproject.web.rest.vm,LoginVM,19,24,0,0,1,10,1,7,1,7
Ticketing Project,at.htl.diplproject.web.rest.vm,ManagedUserVM,12,10,0,0,1,5,1,3,1,3
Ticketing Project,at.htl.diplproject.web.rest.vm,KeyAndPasswordVM,0,17,0,0,0,7,0,5,0,5
Ticketing Project,at.htl.diplproject.service.impl,CartServiceImpl,0,83,0,0,0,19,0,5,0,5
Ticketing Project,at.htl.diplproject,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Ticketing Project,at.htl.diplproject,TicketingProjectApp,110,24,10,2,23,8,8,3,2,3
Ticketing Project,at.htl.diplproject.web.rest.errors,BadRequestAlertException,0,54,0,0,0,12,0,5,0,5
Ticketing Project,at.htl.diplproject.web.rest.errors,InvalidPasswordException,0,6,0,0,0,2,0,1,0,1
Ticketing Project,at.htl.diplproject.web.rest.errors,FieldErrorVM,0,21,0,0,0,8,0,4,0,4
Ticketing Project,at.htl.diplproject.web.rest.errors,ErrorConstants,0,22,0,0,0,7,0,1,0,1
Ticketing Project,at.htl.diplproject.web.rest.errors,EmailNotFoundException,0,6,0,0,0,2,0,1,0,1
Ticketing Project,at.htl.diplproject.web.rest.errors,EmailAlreadyUsedException,0,7,0,0,0,2,0,1,0,1
Ticketing Project,at.htl.diplproject.web.rest.errors,ExceptionTranslator,27,170,4,10,9,37,5,9,1,6
Ticketing Project,at.htl.diplproject.web.rest.errors,LoginAlreadyUsedException,0,7,0,0,0,2,0,1,0,1
Ticketing Project,at.htl.diplproject.repository,CustomAuditEventRepository,12,121,2,10,3,28,3,7,1,3
Ticketing Project,at.htl.diplproject.security.jwt,JWTConfigurer,0,18,0,0,0,6,0,2,0,2
Ticketing Project,at.htl.diplproject.security.jwt,JWTFilter,54,6,10,0,14,3,7,1,2,1
Ticketing Project,at.htl.diplproject.security.jwt,TokenProvider,100,108,1,3,28,28,3,4,2,3
Ticketing Project,at.htl.diplproject.aop.logging,LoggingAspect,177,0,10,0,24,0,10,0,5,0
Ticketing Project,at.htl.diplproject.service.dto,TicketsDTO,0,105,0,10,0,31,0,19,0,14
Ticketing Project,at.htl.diplproject.service.dto,CartDTO,0,81,0,10,0,23,0,15,0,10
Ticketing Project,at.htl.diplproject.service.dto,PasswordChangeDTO,0,26,0,0,0,12,0,6,0,6
Ticketing Project,at.htl.diplproject.service.dto,UserDTO,0,242,0,0,0,60,0,29,0,29
